tablename,rls_enabled,policyname,operation,using_expression,with_check
equipment_activity_completion_inspection_reports,true,rls_auth_all,ALL,"(EXISTS ( SELECT 1
   FROM (((equipment_activity_completions c
     JOIN equipment_activities a ON ((a.id = c.activity_id)))
     JOIN equipment e ON ((e.id = a.equipment_id)))
     JOIN projects p ON ((p.id = e.project_id)))
  WHERE ((c.id = equipment_activity_completion_inspection_reports.completion_id) AND (p.firm_id = get_user_firm_id()) AND ((EXISTS ( SELECT 1
           FROM users urole
          WHERE ((urole.id = auth.uid()) AND (urole.is_active = true) AND ((urole.role)::text = ANY ((ARRAY['firm_admin'::character varying, 'project_manager'::character varying, 'vdcr_manager'::character varying])::text[]))))) OR (EXISTS ( SELECT 1
           FROM (users u
             JOIN equipment_team_positions tp ON ((lower(TRIM(BOTH FROM tp.email)) = lower(TRIM(BOTH FROM u.email)))))
          WHERE ((u.id = auth.uid()) AND (tp.equipment_id = e.id) AND ((c.department IS NULL) OR (tp.department = c.department))))) OR (EXISTS ( SELECT 1
           FROM (users u
             JOIN project_members pm ON ((lower(TRIM(BOTH FROM pm.email)) = lower(TRIM(BOTH FROM u.email)))))
          WHERE ((u.id = auth.uid()) AND (pm.project_id = p.id) AND ((c.department IS NULL) OR (pm.department = c.department)))))))))","(EXISTS ( SELECT 1
   FROM (((equipment_activity_completions c
     JOIN equipment_activities a ON ((a.id = c.activity_id)))
     JOIN equipment e ON ((e.id = a.equipment_id)))
     JOIN projects p ON ((p.id = e.project_id)))
  WHERE ((c.id = equipment_activity_completion_inspection_reports.completion_id) AND (p.firm_id = get_user_firm_id()) AND ((EXISTS ( SELECT 1
           FROM users urole
          WHERE ((urole.id = auth.uid()) AND (urole.is_active = true) AND ((urole.role)::text = ANY ((ARRAY['firm_admin'::character varying, 'project_manager'::character varying, 'vdcr_manager'::character varying])::text[]))))) OR (EXISTS ( SELECT 1
           FROM (users u
             JOIN equipment_team_positions tp ON ((lower(TRIM(BOTH FROM tp.email)) = lower(TRIM(BOTH FROM u.email)))))
          WHERE ((u.id = auth.uid()) AND (tp.equipment_id = e.id) AND ((c.department IS NULL) OR (tp.department = c.department))))) OR (EXISTS ( SELECT 1
           FROM (users u
             JOIN project_members pm ON ((lower(TRIM(BOTH FROM pm.email)) = lower(TRIM(BOTH FROM u.email)))))
          WHERE ((u.id = auth.uid()) AND (pm.project_id = p.id) AND ((c.department IS NULL) OR (pm.department = c.department)))))))))"
equipment_activity_completions,true,Authenticated can manage equipment_activity_completions,ALL,(( SELECT auth.uid() AS uid) IS NOT NULL),(( SELECT auth.uid() AS uid) IS NOT NULL)
equipment_activity_completions,true,Anon can manage equipment_activity_completions,ALL,(( SELECT auth.uid() AS uid) IS NULL),(( SELECT auth.uid() AS uid) IS NULL)
equipment_activity_logs,true,rls_merged_authenticated_delete,DELETE,"(is_super_admin() OR ((EXISTS ( SELECT 1
   FROM equipment e
  WHERE ((e.id = equipment_activity_logs.equipment_id) AND (e.project_id IS NOT NULL) AND is_assigned_to_project(e.project_id)))) OR is_assigned_to_project(project_id)))",null
equipment_activity_logs,true,Authenticated users can insert equipment activity logs,INSERT,null,(( SELECT auth.uid() AS uid) IS NOT NULL)
equipment_activity_logs,true,Authenticated users can view equipment activity logs,SELECT,true,null
equipment_documents,true,rls_merged_authenticated_update,UPDATE,"(((EXISTS ( SELECT 1
   FROM (equipment e
     JOIN projects p ON ((p.id = e.project_id)))
  WHERE ((e.id = equipment_documents.equipment_id) AND (p.firm_id = get_user_firm_id())))) AND is_firm_admin()) OR is_super_admin() OR (EXISTS ( SELECT 1
   FROM equipment e
  WHERE ((e.id = equipment_documents.equipment_id) AND (e.project_id IS NOT NULL) AND is_assigned_to_project(e.project_id)))))","(((EXISTS ( SELECT 1
   FROM (equipment e
     JOIN projects p ON ((p.id = e.project_id)))
  WHERE ((e.id = equipment_documents.equipment_id) AND (p.firm_id = get_user_firm_id())))) AND is_firm_admin()) OR is_super_admin() OR (EXISTS ( SELECT 1
   FROM equipment e
  WHERE ((e.id = equipment_documents.equipment_id) AND (e.project_id IS NOT NULL) AND is_assigned_to_project(e.project_id)))))"
equipment_documents,true,rls_merged_authenticated_select,SELECT,"((EXISTS ( SELECT 1
   FROM equipment e
  WHERE ((e.id = equipment_documents.equipment_id) AND (e.project_id IS NOT NULL) AND is_assigned_to_project(e.project_id)))) OR is_super_admin() OR is_firm_admin())",null
equipment_documents,true,rls_merged_authenticated_delete,DELETE,"(((EXISTS ( SELECT 1
   FROM (equipment e
     JOIN projects p ON ((p.id = e.project_id)))
  WHERE ((e.id = equipment_documents.equipment_id) AND (p.firm_id = get_user_firm_id())))) AND is_firm_admin()) OR is_super_admin() OR (EXISTS ( SELECT 1
   FROM equipment e
  WHERE ((e.id = equipment_documents.equipment_id) AND (e.project_id IS NOT NULL) AND is_assigned_to_project(e.project_id)))))",null
equipment_documents,true,rls_merged_authenticated_insert,INSERT,null,"(((EXISTS ( SELECT 1
   FROM (equipment e
     JOIN projects p ON ((p.id = e.project_id)))
  WHERE ((e.id = equipment_documents.equipment_id) AND (p.firm_id = get_user_firm_id())))) AND is_firm_admin() AND ((uploaded_by = ( SELECT auth.uid() AS uid)) OR (uploaded_by IS NULL))) OR is_super_admin() OR ((EXISTS ( SELECT 1
   FROM equipment e
  WHERE ((e.id = equipment_documents.equipment_id) AND (e.project_id IS NOT NULL) AND is_assigned_to_project(e.project_id)))) AND ((uploaded_by = ( SELECT auth.uid() AS uid)) OR (uploaded_by IS NULL))))"
equipment_production_checklist_completion_images,true,rls_auth_all,ALL,"(EXISTS ( SELECT 1
   FROM (((equipment_production_checklist_task_completions c
     JOIN equipment_production_checklist_tasks t ON ((t.id = c.task_id)))
     JOIN equipment e ON ((e.id = t.equipment_id)))
     JOIN projects p ON ((p.id = e.project_id)))
  WHERE ((c.id = equipment_production_checklist_completion_images.completion_id) AND (p.firm_id = get_user_firm_id()) AND (is_firm_admin() OR (EXISTS ( SELECT 1
           FROM (users u
             JOIN equipment_team_positions tp ON ((lower(TRIM(BOTH FROM tp.email)) = lower(TRIM(BOTH FROM u.email)))))
          WHERE ((u.id = auth.uid()) AND (tp.equipment_id = e.id) AND ((COALESCE(c.department, t.department) IS NULL) OR (tp.department = COALESCE(c.department, t.department)))))) OR (EXISTS ( SELECT 1
           FROM (users u
             JOIN project_members pm ON ((lower(TRIM(BOTH FROM pm.email)) = lower(TRIM(BOTH FROM u.email)))))
          WHERE ((u.id = auth.uid()) AND (pm.project_id = p.id) AND ((COALESCE(c.department, t.department) IS NULL) OR (pm.department = COALESCE(c.department, t.department))))))))))","(EXISTS ( SELECT 1
   FROM (((equipment_production_checklist_task_completions c
     JOIN equipment_production_checklist_tasks t ON ((t.id = c.task_id)))
     JOIN equipment e ON ((e.id = t.equipment_id)))
     JOIN projects p ON ((p.id = e.project_id)))
  WHERE ((c.id = equipment_production_checklist_completion_images.completion_id) AND (p.firm_id = get_user_firm_id()) AND (is_firm_admin() OR (EXISTS ( SELECT 1
           FROM (users u
             JOIN equipment_team_positions tp ON ((lower(TRIM(BOTH FROM tp.email)) = lower(TRIM(BOTH FROM u.email)))))
          WHERE ((u.id = auth.uid()) AND (tp.equipment_id = e.id) AND ((COALESCE(c.department, t.department) IS NULL) OR (tp.department = COALESCE(c.department, t.department)))))) OR (EXISTS ( SELECT 1
           FROM (users u
             JOIN project_members pm ON ((lower(TRIM(BOTH FROM pm.email)) = lower(TRIM(BOTH FROM u.email)))))
          WHERE ((u.id = auth.uid()) AND (pm.project_id = p.id) AND ((COALESCE(c.department, t.department) IS NULL) OR (pm.department = COALESCE(c.department, t.department))))))))))"
equipment_production_checklist_completion_reports,true,rls_auth_all,ALL,"(EXISTS ( SELECT 1
   FROM (((equipment_production_checklist_task_completions c
     JOIN equipment_production_checklist_tasks t ON ((t.id = c.task_id)))
     JOIN equipment e ON ((e.id = t.equipment_id)))
     JOIN projects p ON ((p.id = e.project_id)))
  WHERE ((c.id = equipment_production_checklist_completion_reports.completion_id) AND (p.firm_id = get_user_firm_id()) AND (is_firm_admin() OR (EXISTS ( SELECT 1
           FROM (users u
             JOIN equipment_team_positions tp ON ((lower(TRIM(BOTH FROM tp.email)) = lower(TRIM(BOTH FROM u.email)))))
          WHERE ((u.id = auth.uid()) AND (tp.equipment_id = e.id) AND ((COALESCE(c.department, t.department) IS NULL) OR (tp.department = COALESCE(c.department, t.department)))))) OR (EXISTS ( SELECT 1
           FROM (users u
             JOIN project_members pm ON ((lower(TRIM(BOTH FROM pm.email)) = lower(TRIM(BOTH FROM u.email)))))
          WHERE ((u.id = auth.uid()) AND (pm.project_id = p.id) AND ((COALESCE(c.department, t.department) IS NULL) OR (pm.department = COALESCE(c.department, t.department))))))))))","(EXISTS ( SELECT 1
   FROM (((equipment_production_checklist_task_completions c
     JOIN equipment_production_checklist_tasks t ON ((t.id = c.task_id)))
     JOIN equipment e ON ((e.id = t.equipment_id)))
     JOIN projects p ON ((p.id = e.project_id)))
  WHERE ((c.id = equipment_production_checklist_completion_reports.completion_id) AND (p.firm_id = get_user_firm_id()) AND (is_firm_admin() OR (EXISTS ( SELECT 1
           FROM (users u
             JOIN equipment_team_positions tp ON ((lower(TRIM(BOTH FROM tp.email)) = lower(TRIM(BOTH FROM u.email)))))
          WHERE ((u.id = auth.uid()) AND (tp.equipment_id = e.id) AND ((COALESCE(c.department, t.department) IS NULL) OR (tp.department = COALESCE(c.department, t.department)))))) OR (EXISTS ( SELECT 1
           FROM (users u
             JOIN project_members pm ON ((lower(TRIM(BOTH FROM pm.email)) = lower(TRIM(BOTH FROM u.email)))))
          WHERE ((u.id = auth.uid()) AND (pm.project_id = p.id) AND ((COALESCE(c.department, t.department) IS NULL) OR (pm.department = COALESCE(c.department, t.department))))))))))"
equipment_production_checklist_task_completions,true,rls_auth_all,ALL,"(EXISTS ( SELECT 1
   FROM ((equipment_production_checklist_tasks t
     JOIN equipment e ON ((e.id = t.equipment_id)))
     JOIN projects p ON ((p.id = e.project_id)))
  WHERE ((t.id = equipment_production_checklist_task_completions.task_id) AND (p.firm_id = get_user_firm_id()) AND ((EXISTS ( SELECT 1
           FROM users urole
          WHERE ((urole.id = auth.uid()) AND (urole.is_active = true) AND ((urole.role)::text = ANY ((ARRAY['firm_admin'::character varying, 'project_manager'::character varying, 'vdcr_manager'::character varying])::text[]))))) OR (EXISTS ( SELECT 1
           FROM (users u
             JOIN equipment_team_positions tp ON ((lower(TRIM(BOTH FROM tp.email)) = lower(TRIM(BOTH FROM u.email)))))
          WHERE ((u.id = auth.uid()) AND (tp.equipment_id = e.id) AND ((COALESCE(equipment_production_checklist_task_completions.department, t.department) IS NULL) OR (tp.department = COALESCE(equipment_production_checklist_task_completions.department, t.department)))))) OR (EXISTS ( SELECT 1
           FROM (users u
             JOIN project_members pm ON ((lower(TRIM(BOTH FROM pm.email)) = lower(TRIM(BOTH FROM u.email)))))
          WHERE ((u.id = auth.uid()) AND (pm.project_id = p.id) AND ((COALESCE(equipment_production_checklist_task_completions.department, t.department) IS NULL) OR (pm.department = COALESCE(equipment_production_checklist_task_completions.department, t.department))))))))))","(EXISTS ( SELECT 1
   FROM ((equipment_production_checklist_tasks t
     JOIN equipment e ON ((e.id = t.equipment_id)))
     JOIN projects p ON ((p.id = e.project_id)))
  WHERE ((t.id = equipment_production_checklist_task_completions.task_id) AND (p.firm_id = get_user_firm_id()) AND ((EXISTS ( SELECT 1
           FROM users urole
          WHERE ((urole.id = auth.uid()) AND (urole.is_active = true) AND ((urole.role)::text = ANY ((ARRAY['firm_admin'::character varying, 'project_manager'::character varying, 'vdcr_manager'::character varying])::text[]))))) OR (EXISTS ( SELECT 1
           FROM (users u
             JOIN equipment_team_positions tp ON ((lower(TRIM(BOTH FROM tp.email)) = lower(TRIM(BOTH FROM u.email)))))
          WHERE ((u.id = auth.uid()) AND (tp.equipment_id = e.id) AND ((COALESCE(equipment_production_checklist_task_completions.department, t.department) IS NULL) OR (tp.department = COALESCE(equipment_production_checklist_task_completions.department, t.department)))))) OR (EXISTS ( SELECT 1
           FROM (users u
             JOIN project_members pm ON ((lower(TRIM(BOTH FROM pm.email)) = lower(TRIM(BOTH FROM u.email)))))
          WHERE ((u.id = auth.uid()) AND (pm.project_id = p.id) AND ((COALESCE(equipment_production_checklist_task_completions.department, t.department) IS NULL) OR (pm.department = COALESCE(equipment_production_checklist_task_completions.department, t.department))))))))))"
equipment_production_checklist_tasks,true,rls_auth_all,ALL,"(EXISTS ( SELECT 1
   FROM (equipment e
     JOIN projects p ON ((p.id = e.project_id)))
  WHERE ((e.id = equipment_production_checklist_tasks.equipment_id) AND (p.firm_id = get_user_firm_id()) AND ((EXISTS ( SELECT 1
           FROM users urole
          WHERE ((urole.id = auth.uid()) AND (urole.is_active = true) AND ((urole.role)::text = ANY ((ARRAY['firm_admin'::character varying, 'project_manager'::character varying, 'vdcr_manager'::character varying])::text[]))))) OR (EXISTS ( SELECT 1
           FROM (users u
             JOIN equipment_team_positions tp ON ((lower(TRIM(BOTH FROM tp.email)) = lower(TRIM(BOTH FROM u.email)))))
          WHERE ((u.id = auth.uid()) AND (tp.equipment_id = e.id) AND ((equipment_production_checklist_tasks.department IS NULL) OR (tp.department = equipment_production_checklist_tasks.department))))) OR (EXISTS ( SELECT 1
           FROM (users u
             JOIN project_members pm ON ((lower(TRIM(BOTH FROM pm.email)) = lower(TRIM(BOTH FROM u.email)))))
          WHERE ((u.id = auth.uid()) AND (pm.project_id = p.id) AND ((equipment_production_checklist_tasks.department IS NULL) OR (pm.department = equipment_production_checklist_tasks.department)))))))))","(EXISTS ( SELECT 1
   FROM (equipment e
     JOIN projects p ON ((p.id = e.project_id)))
  WHERE ((e.id = equipment_production_checklist_tasks.equipment_id) AND (p.firm_id = get_user_firm_id()) AND ((EXISTS ( SELECT 1
           FROM users urole
          WHERE ((urole.id = auth.uid()) AND (urole.is_active = true) AND ((urole.role)::text = ANY ((ARRAY['firm_admin'::character varying, 'project_manager'::character varying, 'vdcr_manager'::character varying])::text[]))))) OR (EXISTS ( SELECT 1
           FROM (users u
             JOIN equipment_team_positions tp ON ((lower(TRIM(BOTH FROM tp.email)) = lower(TRIM(BOTH FROM u.email)))))
          WHERE ((u.id = auth.uid()) AND (tp.equipment_id = e.id) AND ((equipment_production_checklist_tasks.department IS NULL) OR (tp.department = equipment_production_checklist_tasks.department))))) OR (EXISTS ( SELECT 1
           FROM (users u
             JOIN project_members pm ON ((lower(TRIM(BOTH FROM pm.email)) = lower(TRIM(BOTH FROM u.email)))))
          WHERE ((u.id = auth.uid()) AND (pm.project_id = p.id) AND ((equipment_production_checklist_tasks.department IS NULL) OR (pm.department = equipment_production_checklist_tasks.department)))))))))"
equipment_progress_entries,true,Firm admin can update firm equipment progress entries,UPDATE,"((EXISTS ( SELECT 1
   FROM (equipment e
     JOIN projects p ON ((p.id = e.project_id)))
  WHERE ((e.id = equipment_progress_entries.equipment_id) AND (p.firm_id = get_user_firm_id())))) AND is_firm_admin())","((EXISTS ( SELECT 1
   FROM (equipment e
     JOIN projects p ON ((p.id = e.project_id)))
  WHERE ((e.id = equipment_progress_entries.equipment_id) AND (p.firm_id = get_user_firm_id())))) AND is_firm_admin())"
equipment_progress_entries,true,Firm admin can create firm equipment progress entries,INSERT,null,"((EXISTS ( SELECT 1
   FROM (equipment e
     JOIN projects p ON ((p.id = e.project_id)))
  WHERE ((e.id = equipment_progress_entries.equipment_id) AND (p.firm_id = get_user_firm_id())))) AND is_firm_admin() AND ((created_by = auth.uid()) OR (created_by IS NULL)))"
equipment_progress_entries,true,Firm admin can delete firm equipment progress entries,DELETE,"((EXISTS ( SELECT 1
   FROM (equipment e
     JOIN projects p ON ((p.id = e.project_id)))
  WHERE ((e.id = equipment_progress_entries.equipment_id) AND (p.firm_id = get_user_firm_id())))) AND is_firm_admin())",null
equipment_progress_entries,true,Firm admin can view firm equipment progress entries,SELECT,"((EXISTS ( SELECT 1
   FROM (equipment e
     JOIN projects p ON ((p.id = e.project_id)))
  WHERE ((e.id = equipment_progress_entries.equipment_id) AND (p.firm_id = get_user_firm_id())))) AND is_firm_admin())",null
equipment_progress_entries,true,Super admin can create equipment progress entries,INSERT,null,is_super_admin()
equipment_progress_entries,true,Super admin can delete equipment progress entries,DELETE,is_super_admin(),null
equipment_progress_entries,true,Super admin can update all equipment progress entries,UPDATE,is_super_admin(),is_super_admin()
equipment_progress_entries,true,Super admin can view all equipment progress entries,SELECT,is_super_admin(),null
equipment_progress_entries,true,Users can create equipment progress entries,INSERT,null,"((EXISTS ( SELECT 1
   FROM equipment e
  WHERE ((e.id = equipment_progress_entries.equipment_id) AND (e.project_id IS NOT NULL) AND is_assigned_to_project(e.project_id)))) AND ((created_by = auth.uid()) OR (created_by IS NULL)))"
equipment_progress_entries,true,Users can delete own equipment progress entries,DELETE,"((created_by = auth.uid()) AND (EXISTS ( SELECT 1
   FROM equipment e
  WHERE ((e.id = equipment_progress_entries.equipment_id) AND (e.project_id IS NOT NULL) AND is_assigned_to_project(e.project_id)))))",null
equipment_progress_entries,true,Users can update own equipment progress entries,UPDATE,"((created_by = auth.uid()) AND (EXISTS ( SELECT 1
   FROM equipment e
  WHERE ((e.id = equipment_progress_entries.equipment_id) AND (e.project_id IS NOT NULL) AND is_assigned_to_project(e.project_id)))))","((created_by = auth.uid()) AND (EXISTS ( SELECT 1
   FROM equipment e
  WHERE ((e.id = equipment_progress_entries.equipment_id) AND (e.project_id IS NOT NULL) AND is_assigned_to_project(e.project_id)))))"
equipment_progress_entries,true,Users can view assigned equipment progress entries,SELECT,"(EXISTS ( SELECT 1
   FROM equipment e
  WHERE ((e.id = equipment_progress_entries.equipment_id) AND (e.project_id IS NOT NULL) AND is_assigned_to_project(e.project_id))))",null
equipment_progress_images,true,Super admin can view all equipment progress images,SELECT,is_super_admin(),null
equipment_progress_images,true,Super admin can create equipment progress images,INSERT,null,is_super_admin()
equipment_progress_images,true,Super admin can delete equipment progress images,DELETE,is_super_admin(),null
equipment_progress_images,true,Super admin can update all equipment progress images,UPDATE,is_super_admin(),is_super_admin()
equipment_progress_images,true,Users can create equipment progress images,INSERT,null,"(EXISTS ( SELECT 1
   FROM equipment e
  WHERE ((e.id = equipment_progress_images.equipment_id) AND (e.project_id IS NOT NULL) AND is_assigned_to_project(e.project_id))))"
equipment_progress_images,true,Users can view assigned equipment progress images,SELECT,"(EXISTS ( SELECT 1
   FROM equipment e
  WHERE ((e.id = equipment_progress_images.equipment_id) AND (e.project_id IS NOT NULL) AND is_assigned_to_project(e.project_id))))",null
equipment_progress_images,true,Users can update equipment progress images,UPDATE,"(EXISTS ( SELECT 1
   FROM equipment e
  WHERE ((e.id = equipment_progress_images.equipment_id) AND (e.project_id IS NOT NULL) AND is_assigned_to_project(e.project_id))))","(EXISTS ( SELECT 1
   FROM equipment e
  WHERE ((e.id = equipment_progress_images.equipment_id) AND (e.project_id IS NOT NULL) AND is_assigned_to_project(e.project_id))))"
equipment_progress_images,true,Users can delete equipment progress images,DELETE,"(EXISTS ( SELECT 1
   FROM equipment e
  WHERE ((e.id = equipment_progress_images.equipment_id) AND (e.project_id IS NOT NULL) AND is_assigned_to_project(e.project_id))))",null
equipment_progress_images,true,Firm admin can create firm equipment progress images,INSERT,null,"((EXISTS ( SELECT 1
   FROM (equipment e
     JOIN projects p ON ((p.id = e.project_id)))
  WHERE ((e.id = equipment_progress_images.equipment_id) AND (p.firm_id = get_user_firm_id())))) AND is_firm_admin())"
equipment_progress_images,true,Firm admin can delete firm equipment progress images,DELETE,"((EXISTS ( SELECT 1
   FROM (equipment e
     JOIN projects p ON ((p.id = e.project_id)))
  WHERE ((e.id = equipment_progress_images.equipment_id) AND (p.firm_id = get_user_firm_id())))) AND is_firm_admin())",null
